keyframe_id,time,x,y,theta,dr_x,dr_y,dr_theta,cov_xx,cov_yy,cov_tt,nssm_constraints
80,1506457586.293,-57.127806241395355,0.32437379857711224,0.12111033012304477,-57.12780624139523,0.3243737985770589,0.12111033012304517,165.4072202804508,815.6294747059677,0.20009999999960704,0
81,1506457596.441,-56.11205644342389,3.1798696715184374,0.5385743257865686,-56.11205644342376,3.1798696715183814,0.5385743257865689,498.0669910294539,473.14835616209183,0.20259999999966305,0
82,1506457601.395,-55.02007459495887,4.161478103076494,1.0725846872648395,-55.02007459495875,4.161478103076434,1.0725846872648397,844.8135939237161,107.21713140592216,0.2050999999997395,0
83,1506457608.369,-52.13171566100023,5.035756267520523,1.3474899244386935,-52.131715661000115,5.035756267520466,1.3474899244386938,820.6150383865412,73.11397714916578,0.20759999999982356,0
84,1506457617.4,-49.2762086692,6.126385435649303,0.9964801924160744,-49.27620866919989,6.126385435649247,0.9964801924160748,734.6813183506819,106.56445559045038,0.2100999999998049,0
85,1506457624.035,-46.876569791025794,7.989652426118559,0.7849584195586807,-46.87656979102569,7.989652426118502,0.7849584195586811,633.3607010583871,173.56229727106023,0.21259999999973553,0
86,1506457631.99,-45.01237226382491,10.342732868910478,0.3674070575162265,-45.0123722638248,10.342732868910423,0.36740705751622693,396.33628612568316,394.03156049369215,0.215099999999743,0
87,1506457642.053,-44.46297568438179,13.294800803959028,0.014865648406779473,-44.46297568438168,13.294800803958976,0.01486564840677995,209.81893080289734,597.1851506356089,0.21759999999975158,0
88,1506457652.118,-44.85526852624824,16.276110383237548,-0.2641708974863131,-44.85526852624813,16.276110383237494,-0.2641708974863127,107.33918545994521,737.7312534828759,0.22009999999984942,0
89,1506457662.33,-45.56026189741512,19.22037544030012,0.023272331233771693,-45.56026189741501,19.220375440300064,0.02327233123377215,281.93261816765965,610.567593767317,0.22259999999984623,0
90,1506457667.028,-45.12147222125574,20.540621919374146,0.5665953522522955,-45.12147222125564,20.540621919374086,0.566595352252296,687.9413037547863,213.25093725247785,0.22509999999989938,0
91,1506457671.774,-44.081172280569916,21.48596141139575,1.094456036319474,-44.08117228056981,21.485961411395692,1.0944560363194744,814.5102346541318,80.29688083629665,0.22759999999980968,0
92,1506457675.267,-43.05917936783045,21.65213690489936,1.6513049165950577,-43.059179367830346,21.652136904899304,1.6513049165950582,525.4197874570997,353.78625370066413,0.23009999999996175,0
93,1506457678.95,-42.04086293692669,21.25742132997175,2.1929956478044694,-42.04086293692659,21.25742132997169,2.19299564780447,162.0324760694641,694.7445030394491,0.23259999999990114,0
94,1506457684.559,-40.91401966006475,19.51581237325287,2.722829847621746,-40.914019660064646,19.515812373252814,2.7228298476217465,89.74400650494817,726.460385525829,0.23510000000007913,0
95,1506457692.049,-39.76634289682556,16.7385329333231,2.6929661296983154,-39.766342896825456,16.738532933323047,2.692966129698316,77.80376273996448,687.9469300960143,0.23760000000020964,0
96,1506457698.116,-38.60007051701486,15.36875406859997,2.142198106954909,-38.60007051701476,15.368754068599916,2.142198106954909,189.97424013322134,543.2789291215046,0.24010000000031365,0
97,1506457701.507,-37.690103237428644,15.07813931674584,1.61621504019213,-37.69010323742854,15.078139316745784,1.6162150401921302,471.0277430180422,245.78619889846428,0.24260000000029885,0
98,1506457705.924,-37.51521333374621,15.162853806408616,1.0861838783655928,-37.515213333746104,15.162853806408558,1.086183878365593,641.2036852682243,74.32923116567454,0.24510000000021348,0
99,1506457709.353,-36.8299012503456,15.912518306277272,0.50808725803655,-36.8299012503455,15.912518306277216,0.5080872580365501,506.43736531221566,207.15193099820758,0.24760000000027774,0
100,1506457719.488,-36.10545091508961,18.825494102854982,0.07158221287619418,-36.105450915089506,18.825494102854922,0.07158221287619425,304.2230623296437,432.11862050303733,0.25010000000030286,0
101,1506457729.56,-35.84576389623075,21.829769498726023,0.21016725307461295,-35.84576389623064,21.82976949872596,0.21016725307461304,428.78964195735784,342.5775423198219,0.25260000000032734,0
102,1506457739.699,-35.15175744866055,24.778128754653018,0.4192738608982504,-35.15175744866045,24.778128754652954,0.41927386089825047,591.8709654011444,212.17875633396474,0.25510000000038396,0
103,1506457749.764,-33.54484359027847,27.32583370654432,0.6640271189817678,-33.544843590278376,27.325833706544255,0.6640271189817679,706.9267197891131,115.7684810673093,0.2576000000005121,0
104,1506457757.847,-30.979105977161307,29.053199733715843,1.1123813668371878,-30.979105977161222,29.053199733715786,1.1123813668371878,645.8339503578475,174.41688484595377,0.26010000000047573,0
105,1506457762.97,-28.13525406840179,30.2115731391647,1.2784108239584813,-28.135254068401707,30.211573139164646,1.2784108239584815,535.3797167711433,274.31588376794195,0.2626000000005072,0
106,1506457768.098,-25.116517310878482,30.751162117542755,1.5193966617512376,-25.116517310878407,30.7511621175427,1.5193966617512378,373.18611207120125,418.09174611945247,0.265100000000578,0
107,1506457775.176,-22.11810477304014,30.537464368763008,1.8376005072663855,-22.118104773040066,30.53746436876295,1.8376005072663857,214.61436209907407,549.6943109981868,0.2676000000006399,0
108,1506457781.273,-19.39152386854813,29.19720175193371,2.2284881332401483,-19.39152386854806,29.197201751933658,2.2284881332401483,153.08461029906414,570.8455383310854,0.27010000000042356,0
109,1506457787.714,-18.207157878885194,27.701322521081458,2.804996071930484,-18.20715787888513,27.701322521081412,2.8049960719304843,266.0076981861456,426.99362658893847,0.27260000000033474,0
110,1506457810.713,-17.841055205017504,25.6762796939887,2.276343933092543,-17.84105520501744,25.676279693988658,2.2763439330925435,147.59244978657694,512.015656078283,0.2751000000002955,0
111,1506457817.236,-15.180966236125887,24.14845840461224,2.110848513056458,-15.180966236125823,24.148458404612196,2.1108485130564585,163.21092522630755,463.3771852830012,0.2776000000002298,0
112,1506457824.465,-12.588835298346314,22.460825735255334,2.1614196945100304,-12.588835298346252,22.460825735255295,2.161419694510031,165.86225879824502,430.8652067758571,0.28010000000023544,0
113,1506457829.515,-10.214483071247718,20.58262600563701,2.344943151648959,-10.21448307124766,20.582626005636975,2.3449431516489594,165.13213327910407,404.79052838916755,0.2826000000001583,0
114,1506457834.659,-8.261802373632099,18.20185726192224,2.566655090357341,-8.261802373632042,18.201857261922207,2.5666550903573415,169.17716150472324,373.15227275140455,0.28510000000014174,0
115,1506457842.352,-7.203769561134618,15.372714592788263,3.0389798840570923,-7.203769561134562,15.372714592788236,3.0389798840570927,213.60762071015927,300.92746545593286,0.2876000000001597,0
