time,x,y,z,qx,qy,qz,qw
1780364386.797749,9.237468779726363,-0.04493654049638396,0.0,0.0,0.0,0.8819083713284509,-0.47142085717625937
1780364386.9066439,9.243053678869218,-0.05455310173061958,0.0,0.0,0.0,0.8792131784990835,-0.47642857466102795
1780364387.00902,9.249596926179446,-0.065819829477309,0.0,0.0,0.0,0.8842730181845782,-0.466970265981397
1780364387.1056511,9.255280958169397,-0.07560708676197839,0.0,0.0,0.0,0.8873624950496267,-0.46107244808088577
1780364387.2457857,9.260964990317817,-0.08539434312706178,0.0,0.0,0.0,0.8886759438905951,-0.458535785681074
1780364387.3652544,9.265638420061109,-0.09648405807022828,0.0,0.0,0.0,0.8883174696393366,-0.4592298696007984
1780364387.487678,9.268721405629229,-0.10565877537244461,0.0,0.0,0.0,0.8887796751099074,-0.458334691149958
1780364387.6356666,9.271822627909774,-0.11488776474098915,0.0,0.0,0.0,0.8903315259100005,-0.455312830887479
1780364387.8040175,9.274905613477907,-0.12406248204320866,0.0,0.0,0.0,0.8928581666850459,-0.4503379777276382
1780364387.9604824,9.278079809176983,-0.13350863469785115,0.0,0.0,0.0,0.906106810482459,-0.423048990067705
1780364388.0818083,9.281181031515397,-0.14273762407268337,0.0,0.0,0.0,0.911484715703476,-0.41133394345586594
1780364388.223414,9.28551565589284,-0.15387200890517183,0.0,0.0,0.0,0.9151782355927518,-0.403049373026851
1780364388.4027417,9.289803653880012,-0.16476896727516827,0.0,0.0,0.0,0.9201891686832948,-0.3914740014840664
1780364388.5531008,9.294091645896225,-0.17566591000751658,0.0,0.0,0.0,0.9245891655565763,-0.38096571359558584
1780364388.7140243,9.298379643941274,-0.1865628683838078,0.0,0.0,0.0,0.9208596441438525,-0.38989423666842954
1780364388.86263,9.302970320209699,-0.1982290127196945,0.0,0.0,0.0,0.9247835210024995,-0.38049367837353043
1780364389.020114,9.307031025743827,-0.20907009749383093,0.0,0.0,0.0,0.9255750482917943,-0.37856416890620087
1780364389.142974,9.309236317565095,-0.2179351848208115,0.0,0.0,0.0,0.9244910519596994,-0.3812037445336134
1780364389.2807007,9.311693642727528,-0.2278134233513765,0.0,0.0,0.0,0.9257437567158431,-0.3781514205997883
1780364389.425808,9.313810723255303,-0.2363239085005524,0.0,0.0,0.0,0.9295395442597851,-0.36872243714928843
1780364389.5782332,9.315965609109869,-0.24498636753664657,0.0,0.0,0.0,0.9359529380818294,-0.35212511653670936
1780364389.7263198,9.318435537886563,-0.2549152729728072,0.0,0.0,0.0,0.9358358886460152,-0.352436078632882
1780364389.8997133,9.321805303514184,-0.26231154961760067,0.0,0.0,0.0,0.936916443014921,-0.3495533990798376
1780364390.0501568,9.326462335618665,-0.2696917882337101,0.0,0.0,0.0,0.93550970087826,-0.35330100419142385
1780364390.1996937,9.330493797320807,-0.27608065248297603,0.0,0.0,0.0,0.9342822074578113,-0.3565343697706564
1780364390.3534842,9.334432582904372,-0.2823226491294853,0.0,0.0,0.0,0.9315852490908119,-0.36352293418216414
1780364390.514349,9.339043274240971,-0.2896294489658905,0.0,0.0,0.0,0.9314556078238505,-0.36385498574775804
1780364390.643696,9.342674366316537,-0.2957223352671022,0.0,0.0,0.0,0.932855982133362,-0.3602495199136296
1780364390.7739856,9.344378059397929,-0.30098315255589486,0.0,0.0,0.0,0.931751920764478,-0.3630955220760867
