time,x,y,z,qx,qy,qz,qw
1780302167.2462318,-14.025930449574693,-8.596750827672588,0.0,0.0,0.0,-0.21946363554228393,0.9756206807333286
1780302167.4212081,-13.946730535585857,-8.62022920562406,0.0,0.0,0.0,-0.21480887402685084,0.9766561051052292
1780302167.5893238,-13.870716706503323,-8.64276308625869,0.0,0.0,0.0,-0.20824455906385977,0.9780767882023879
1780302167.7522519,-13.794702877478986,-8.665296966892054,0.0,0.0,0.0,-0.2085795642553079,0.9780054015060785
1780302167.920774,-13.71777876945486,-8.688100694710764,0.0,0.0,0.0,-0.21017084226358293,0.9776646751633282
1780302168.079892,-13.64305224297867,-8.706634624801728,0.0,0.0,0.0,-0.2073031074631987,0.9782767612675369
1780302168.3047264,-13.555529583611952,-8.726591256679388,0.0,0.0,0.0,-0.20635070010575732,0.9784780981533843
1780302168.4405637,-13.479859060821283,-8.743845402429374,0.0,0.0,0.0,-0.20380036873013907,0.9790124665730562
1780302168.6271503,-13.403732615557718,-8.761203506619438,0.0,0.0,0.0,-0.2012332751055265,0.9795433471727034
1780302168.816302,-13.313474964758344,-8.781783761802673,0.0,0.0,0.0,-0.19818786654609588,0.9801640523677181
1780302169.0399592,-13.236451321724797,-8.799277401871318,0.0,0.0,0.0,-0.1959043780897038,0.9806230033225237
1780302169.197376,-13.161080112698924,-8.815030703142638,0.0,0.0,0.0,-0.19547973368501428,0.9807077412350919
1780302169.3512855,-13.072995752923012,-8.833441173726513,0.0,0.0,0.0,-0.19733175218957083,0.9803367684514306
1780302169.5426567,-12.988543799217277,-8.851092436625038,0.0,0.0,0.0,-0.1968560827402111,0.9804323957765672
1780302169.7038817,-12.912264569859738,-8.867035522913653,0.0,0.0,0.0,-0.18667813989400422,0.9824211276666003
1780302169.913895,-12.825088230415496,-8.885256208480232,0.0,0.0,0.0,-0.18618608217780994,0.9825145000473416
1780302170.0764844,-12.74747183499,-8.900978337957202,0.0,0.0,0.0,-0.18433008571508358,0.9828643952754978
1780302170.2276733,-12.669875414440625,-8.916189897508524,0.0,0.0,0.0,-0.17640300452369864,0.9843180278726037
1780302170.4219615,-12.592278993853316,-8.931401457992214,0.0,0.0,0.0,-0.17349276377147024,0.9848351440311911
1780302170.5759256,-12.512845884856512,-8.946973072009484,0.0,0.0,0.0,-0.17051206850088133,0.9853555878440792
1780302170.7542148,-12.433872002728679,-8.962454662369186,0.0,0.0,0.0,-0.16490042816956393,0.9863102193475917
1780302170.9551225,-12.340664386994465,-8.980726552288202,0.0,0.0,0.0,-0.15642514181034714,0.987689817204578
1780302171.176735,-12.246159101824539,-8.993005248539987,0.0,0.0,0.0,-0.1579259313847225,0.9874509609070559
1780302171.3502007,-12.15877993818278,-9.00337247550397,0.0,0.0,0.0,-0.15732272445292445,0.9875472446271668
1780302171.5400987,-12.077574307402847,-9.013007235819009,0.0,0.0,0.0,-0.1493191048726618,0.9887890598707224
1780302171.6850023,-11.998268312211799,-9.02241660992686,0.0,0.0,0.0,-0.15090417161027161,0.9885483958768118
1780302171.8837981,-11.903290945742231,-9.033685338001861,0.0,0.0,0.0,-0.15280194688827883,0.9882568315104893
1780302172.0978916,-11.798767901473848,-9.045717897921767,0.0,0.0,0.0,-0.14879032641264783,0.9888687672113109
1780302172.3003063,-11.720783057594529,-9.054430369329586,0.0,0.0,0.0,-0.1424688114781751,0.9897992916526038
1780302172.435431,-11.64233116058531,-9.063195019342787,0.0,0.0,0.0,-0.13374822795397412,0.9910153437354902
1780302172.6163378,-11.557808463847078,-9.072637900111365,0.0,0.0,0.0,-0.12452189987975931,0.9922168595878298
1780302172.7883794,-11.47982361996776,-9.081350371519184,0.0,0.0,0.0,-0.11581512752222418,0.9932707869644667
1780302173.0200498,-11.387829409374264,-9.0916279700463,0.0,0.0,0.0,-0.10847700385661091,0.9940989586727735
